"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
30.773672,-29.822653,18.6616973876953,10.8742294311523,54.5347480773926,306.326568603516,26.8642501831055,6.92425012588501,19.9400005340576,22.1142921447754,14.9762916564941,22.1493339538574,14.6096668243408,927,133,18,54.6802101135254,378,81,369,81
30.423105,0.401812,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.338811,0.600163,19.7672080993652,10.8120832443237,86.5971221923828,40.9702758789062,26.3417491912842,13.8562498092651,12.485499382019,19.5849990844727,19.947582244873,20.3304576873779,19.3294582366943,1381,203,46,46.1885948181152,543,188,347,237
30.489433,0.41564,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
34.78,-0.69,19.4434471130371,11.4924793243408,80.8518218994141,67.8822708129883,27.0502490997314,12.8360004425049,14.2142486572266,19.7711658477783,20.097957611084,20.3675003051758,18.611457824707,1805,259,82,32.2406806945801,639,303,349,407
34.78,-0.69,19.4434471130371,11.4924793243408,80.8518218994141,67.8822708129883,27.0502490997314,12.8360004425049,14.2142486572266,19.7711658477783,20.097957611084,20.3675003051758,18.611457824707,1805,259,82,32.2406806945801,639,303,349,407
18.495545,-33.809467,16.9886169433594,9.31539821624756,52.8609313964844,306.4013671875,26.1217384338379,8.49927520751953,17.6224632263184,13.9403381347656,20.6161842346191,20.6161842346191,13.2258453369141,515,89,12,69.1782684326172,250,41,41,249
30.896355,-29.820916,20.0251770019531,9.94397926330566,53.9093246459961,284.395690917969,27.8217506408691,9.37600040435791,18.4457511901855,23.3576240539551,16.3269577026367,23.3576240539551,16.3269577026367,973,133,21,47.3447265625,373,103,373,103
30.490247,0.415234,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.48238,0.340413,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.349582,0.596145,19.7672080993652,10.8120832443237,86.5971221923828,40.9702758789062,26.3417491912842,13.8562498092651,12.485499382019,19.5849990844727,19.947582244873,20.3304576873779,19.3294582366943,1381,203,46,46.1885948181152,543,188,347,237
30.319,0.595,19.5417594909668,11.5536041259766,86.1373596191406,40.3308258056641,26.5590000152588,13.1459999084473,13.4130001068115,19.3363742828369,19.6854991912842,20.1079998016357,19.1393737792969,1463,214,52,45.1113243103027,566,209,386,247
30.490381,0.416217,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.431797,0.421318,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.489301,0.416148,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
32.553692,0.328901,21.5769481658936,9.74077129364014,81.8620910644531,62.6986999511719,27.7037506103516,15.8047494888306,11.899001121521,21.8312492370605,20.7290420532227,22.3540840148926,20.7290420532227,1332,191,66,36.4990882873535,487,221,288,221
29.615392,-0.984606,20.7115211486816,11.0622911453247,91.5676879882812,25.5789165496826,26.80299949646,14.7220001220703,12.0809993743896,20.6081256866455,20.4734992980957,21.0372924804688,20.4734992980957,1106,134,40,32.2875175476074,372,180,239,180
30.439445,0.399101,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
37.66,-3.63,22.6665210723877,10.670916557312,67.4424743652344,175.357421875,31.0872497558594,15.2650003433228,15.8222494125366,23.3837509155273,20.5435829162598,24.588041305542,20.3169174194336,713,152,11,75.3701248168945,345,39,206,41
30.160556,-2.785,19.4675102233887,10.5804376602173,78.3329925537109,42.5123100280762,26.5732498168945,13.0662498474121,13.5069999694824,19.2738342285156,19.5780830383301,20.1023750305176,19.2007923126221,1127,196,4,62.2489433288574,448,36,176,318
36.84,7.69,18.4731884002686,14.7945413589478,74.8635787963867,85.0299377441406,28.1790008544922,8.41699981689453,19.7620010375977,17.8124580383301,18.4058742523193,19.6535415649414,17.7045841217041,1438,234,21,67.9902420043945,678,83,367,642
29.26,-1.93,19.1881675720215,9.18637561798096,87.4143524169922,28.7990055084229,24.4740009307861,13.9650001525879,10.5090007781982,19.3423748016357,19.1493339538574,19.469165802002,18.9593753814697,1248,162,22,41.0699996948242,412,120,341,396
29.26,-1.93,19.1881675720215,9.18637561798096,87.4143524169922,28.7990055084229,24.4740009307861,13.9650001525879,10.5090007781982,19.3423748016357,19.1493339538574,19.469165802002,18.9593753814697,1248,162,22,41.0699996948242,412,120,341,396
29.26,-1.93,19.1881675720215,9.18637561798096,87.4143524169922,28.7990055084229,24.4740009307861,13.9650001525879,10.5090007781982,19.3423748016357,19.1493339538574,19.469165802002,18.9593753814697,1248,162,22,41.0699996948242,412,120,341,396
37.342092,11.695303,19.2308540344238,13.5260000228882,69.8413543701172,127.380058288574,28.0900001525879,8.72325038909912,19.3667488098145,19.2137088775635,17.8218326568604,20.939001083374,17.7515830993652,1305,372,3,119.176536560059,887,12,132,28
18.850316,-34.093522,15.4802780151367,10.1797857284546,52.4211616516113,335.158996582031,25.7566661834717,6.33743572235107,19.4192314147949,11.3851709365845,19.4742298126221,19.4976921081543,11.3851709365845,792,119,25,56.3833694458008,349,80,81,349
30.936128,-25.45587,20.2744274139404,13.3729372024536,58.5973358154297,332.682403564453,29.7695007324219,6.94775009155273,22.8217506408691,23.8811664581299,15.7633333206177,23.8811664581299,15.7633333206177,782,138,9,76.6521530151367,381,30,381,30
18.379808,-34.009717,16.5132389068604,8.3077220916748,52.5378036499023,278.811462402344,24.73486328125,8.92201805114746,15.8128452301025,13.1449031829834,19.832670211792,19.878490447998,13.1449031829834,575,98,16,66.0960159301758,273,53,54,273
31.39888,-25.629263,20.8291034698486,12.7504577636719,57.9125366210938,329.354370117188,30.1232490539551,8.10649967193604,22.0167503356934,24.3446254730225,16.3516674041748,24.3446254730225,16.3516674041748,729,128,9,75.5967254638672,362,31,362,31
